age_CE	trsgi	numsamp
441	0.731	1
442	1.061	1
443	1.03	1
444	1.104	1
445	0.904	1
446	1.177	1
447	1.171	1
448	0.968	1
449	1.031	1
450	1.056	1
451	0.786	1
452	1.01	1
453	1.038	1
454	0.879	1
455	0.944	1
456	1.085	1
457	1.171	1
458	0.989	1
459	0.859	1
460	1.123	1
461	0.944	1
462	1.038	1
463	1.103	1
464	1.245	1
465	1.129	2
466	1.378	2
467	0.993	2
468	1.07	2
469	1.159	2
470	1.252	2
471	1.103	2
472	0.81	2
473	1.025	2
474	1.089	2
475	1.186	2
476	1.321	2
477	1.059	2
478	0.913	2
479	0.694	2
480	0.736	2
481	0.699	2
482	0.725	2
483	0.87	2
484	0.995	2
485	0.933	2
486	1.176	2
487	1.175	2
488	0.945	2
489	0.909	2
490	1.14	2
491	1.268	2
492	1.194	2
493	1.302	2
494	1.003	2
495	0.572	2
496	0.538	2
497	0.668	2
498	0.852	2
499	0.838	2
500	0.978	2
501	0.737	2
502	0.87	2
503	0.631	2
504	0.77	2
505	0.692	2
506	0.965	2
507	0.842	2
508	0.966	2
509	1.148	2
510	1.013	2
511	0.783	2
512	0.933	2
513	1.057	2
514	0.952	2
515	1.06	2
516	0.868	2
517	0.944	2
518	0.83	2
519	0.992	2
520	1.114	2
521	1.032	2
522	1.615	2
523	1.161	2
524	1.042	2
525	1.363	2
526	1.294	2
527	1.078	2
528	1.452	2
529	1.577	2
530	1.25	2
531	1.241	2
532	1.389	2
533	1.154	2
534	1.064	2
535	1.167	2
536	1.262	2
537	1.19	2
538	1.17	2
539	1.185	2
540	1.42	2
541	1.069	2
542	0.728	2
543	0.78	2
544	0.596	2
545	0.779	2
546	0.598	2
547	0.546	2
548	0.429	2
549	0.574	2
550	0.652	2
551	0.641	2
552	0.818	2
553	0.897	2
554	0.868	2
555	0.899	2
556	0.914	2
557	1.026	2
558	1.011	2
559	1.079	2
560	1.086	2
561	0.754	2
562	0.761	2
563	0.669	2
564	0.696	2
565	1.049	2
566	0.683	2
567	0.939	2
568	0.865	2
569	0.741	2
570	0.68	2
571	0.923	2
572	0.673	2
573	0.762	2
574	0.729	2
575	0.494	2
576	0.93	2
577	0.635	2
578	0.812	2
579	1.083	2
580	0.989	2
581	1.124	2
582	1.13	2
583	1.033	2
584	0.913	2
585	0.779	2
586	1.279	2
587	1.522	2
588	1.236	2
589	1.203	2
590	1.287	2
591	1.647	2
592	1.125	2
593	1.615	2
594	1.167	2
595	1.886	2
596	1.942	2
597	1.505	2
598	1.167	2
599	1.245	2
600	1.606	2
601	1.102	2
602	1.442	2
603	1.637	2
604	1.641	2
605	1.435	2
606	1.359	2
607	1.035	2
608	1.191	2
609	1.317	2
610	1.133	2
611	0.861	2
612	1.134	2
613	1.241	2
614	1.388	2
615	1.01	2
616	0.965	2
617	1.348	2
618	1.009	2
619	0.873	2
620	0.898	2
621	0.882	2
622	0.901	2
623	0.763	2
624	0.906	2
625	0.656	2
626	0.525	2
627	0.764	2
628	0.703	2
629	0.769	2
630	0.676	2
631	1.045	2
632	1.034	2
633	0.77	2
634	0.743	2
635	0.858	2
636	0.975	2
637	0.662	2
638	1.085	2
639	1.04	2
640	0.924	2
641	0.78	2
642	0.79	2
643	0.777	2
644	0.695	2
645	0.673	2
646	0.535	2
647	0.642	2
648	0.862	2
649	1.014	2
650	1.129	2
651	1.312	2
652	1.029	2
653	1.417	2
654	1.256	2
655	1.22	2
656	1.514	2
657	1.173	2
658	1.158	2
659	1.245	2
660	1.17	2
661	1.539	2
662	1.161	2
663	1.377	2
664	1.593	2
665	1.189	2
666	1.569	2
667	1.326	2
668	1.478	2
669	1.133	2
670	1.099	2
671	1.523	2
672	1.354	2
673	1.558	2
674	1.435	2
675	1.407	2
676	1.248	2
677	1.559	2
678	1.115	2
679	1.251	2
680	1.31	2
681	1.056	2
682	1.124	2
683	1.405	2
684	1.546	2
685	0.63	2
686	0.901	2
687	0.782	2
688	0.954	2
689	0.95	2
690	1.102	2
691	1.359	2
692	0.943	2
693	0.85	2
694	0.656	2
695	0.782	2
696	0.835	2
697	0.678	2
698	1.016	2
699	0.78	2
700	1.063	2
701	0.976	2
702	0.937	2
703	0.963	2
704	0.808	2
705	0.828	2
706	0.988	2
707	1.272	2
708	0.722	2
709	1.116	2
710	1.077	2
711	0.867	2
712	0.546	2
713	0.705	2
714	0.406	2
715	0.59	2
716	0.883	2
717	0.882	2
718	0.6	2
719	0.891	2
720	0.934	2
721	0.864	2
722	0.884	2
723	0.97	2
724	0.88	2
725	1.094	2
726	1.052	2
727	1.479	2
728	1.23	2
729	1.323	2
730	1.769	2
731	1.873	2
732	1.752	2
733	1.399	2
734	1.801	2
735	1.314	2
736	1.275	2
737	0.867	2
738	1.164	2
739	1.001	3
740	0.708	3
741	0.855	3
742	0.901	3
743	0.811	3
744	0.841	3
745	0.672	3
746	1.099	3
747	1.223	3
748	1.097	3
749	1.003	3
750	0.937	3
751	0.953	3
752	1.138	3
753	1.078	3
754	0.961	3
755	1.152	3
756	0.839	3
757	0.955	3
758	0.903	3
759	1.133	3
760	1.063	3
761	1.209	3
762	0.822	3
763	1.218	3
764	1.089	3
765	0.932	3
766	1.231	3
767	1.12	3
768	0.555	3
769	0.781	3
770	0.796	3
771	0.751	3
772	0.661	3
773	0.669	3
774	0.411	3
775	0.789	3
776	0.805	3
777	0.672	3
778	0.939	3
779	0.982	3
780	1.147	3
781	1.042	3
782	0.715	3
783	0.703	3
784	0.733	3
785	0.651	3
786	0.615	3
787	0.792	3
788	0.891	3
789	0.876	3
790	0.786	3
791	1.071	3
792	1.075	3
793	1.227	3
794	1.323	3
795	1.436	3
796	0.871	3
797	1.493	3
798	1.501	3
799	1.476	3
800	1.474	3
801	1.203	3
802	1.324	3
803	1.19	3
804	1.08	3
805	0.91	3
806	1.065	3
807	0.67	3
808	1.253	3
809	1.3	3
810	1.247	3
811	1.08	3
812	1.298	3
813	1.291	3
814	0.917	3
815	1.08	3
816	0.972	3
817	1.067	3
818	1.6	3
819	1.167	3
820	1.154	3
821	1.245	3
822	1.461	3
823	1.084	3
824	0.954	3
825	1.228	3
826	1.019	3
827	1.069	3
828	1.036	3
829	0.917	3
830	0.953	3
831	0.742	3
832	0.93	3
833	0.983	3
834	0.834	3
835	0.874	3
836	0.705	3
837	0.685	3
838	0.797	4
839	0.883	4
840	0.91	4
841	0.402	4
842	0.743	4
843	0.798	4
844	0.802	4
845	0.649	4
846	0.954	4
847	0.814	4
848	0.59	4
849	0.922	4
850	0.938	4
851	0.728	4
852	0.88	4
853	0.821	4
854	0.797	4
855	0.761	4
856	0.823	4
857	0.77	4
858	0.853	4
859	0.909	4
860	0.667	4
861	0.655	4
862	0.73	4
863	0.777	4
864	1.056	4
865	1.002	4
866	1.172	4
867	1.057	4
868	1.101	4
869	1.119	4
870	1.109	4
871	1.234	4
872	0.863	4
873	1.131	4
874	1.232	4
875	1.202	4
876	1.035	4
877	1.175	4
878	0.979	4
879	1.091	4
880	1.083	4
881	1.272	4
882	1.243	4
883	1.323	4
884	1.046	4
885	1.151	4
886	1.056	4
887	1.011	4
888	0.788	4
889	1.047	4
890	0.628	4
891	1.058	4
892	0.891	4
893	0.845	4
894	0.896	4
895	0.801	4
896	0.737	4
897	1.114	4
898	0.94	4
899	0.932	4
900	0.996	4
901	0.961	4
902	0.938	4
903	0.794	4
904	0.806	4
905	0.69	4
906	0.719	4
907	0.964	4
908	1.044	4
909	0.921	4
910	0.957	4
911	0.622	4
912	0.9	4
913	0.834	4
914	0.737	4
915	0.738	4
916	0.672	4
917	0.801	4
918	0.933	4
919	0.591	4
920	0.69	4
921	0.836	4
